MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A,,,,,,,,,
,,,,,,,,,
Data Acquisition,,,,,,Time:,409.35938,s,1/20/2017 16:53
Axial Displacement,Axial Displacement Error,Axial Force,Axial Force Abs. Error,Running Time,Time,,,,
mm,mm,N,N,s,s,,,,
-2.5097311,0.000367641,-3152.9253,0,165.50195,165.52344,,,,
-2.5124192,0.000332594,-3164.1929,0,166.00195,166.02344,,,,
-2.5141704,-0.000647545,-3174.9082,0,166.50195,166.52344,,,,
-2.5173342,-0.000223398,-3204.1204,0,167.00195,167.02344,,,,
-2.5223696,0.002064228,-3251.4636,0,167.50195,167.52344,,,,
-2.5249124,0.001851082,-3260.3916,0,168.00195,168.02344,,,,
-2.5267601,0.000934601,-3263.8191,0,168.50195,168.52344,,,,
-2.5284457,-0.000152111,-3263.9338,0,169.00195,169.02344,,,,
-2.5305343,-0.00084424,-3279.8691,0,169.50195,169.52344,,,,
-2.5335753,-0.000591755,-3297.6172,0,170.00195,170.02344,,,,
-2.5364339,-0.000530005,-3319.0032,0,170.50195,170.52344,,,,
-2.5395215,-0.000247478,-3340.1538,0,171.00195,171.02344,,,,
-2.5413167,-0.001265287,-3359.5916,0,171.50195,171.52344,,,,
-2.547642,0.002238751,-3418.6233,0,172.00195,172.02344,,,,
-2.55108,0.002847433,-3441.3127,0,172.50195,172.52344,,,,
-2.5535929,0.002522707,-3446.2268,0,173.00195,173.02344,,,,
-2.5554371,0.001521349,-3440.0439,0,173.50195,173.52344,,,,
-2.5571465,0.00037694,-3436.7673,0,174.00195,174.02344,,,,
-2.5585079,-0.001123667,-3445.3914,0,174.50195,174.52344,,,,
-2.5613332,-0.00116849,-3460.6909,0,175.00195,175.02344,,,,
-2.5637412,-0.001638413,-3477.4316,0,175.50195,175.52344,,,,
-2.5662851,-0.001980782,-3498.1333,0,176.00195,176.02344,,,,
-2.569505,-0.001655102,-3521.9519,0,176.50195,176.52344,,,,
-2.5736463,-0.00041604,-3554.4829,0,177.00195,177.02344,,,,
-2.5766826,-0.000290155,-3584.3232,0,177.50195,177.52344,,,,
-2.5801146,0.00022316,-3602.9163,0,178.00195,178.02344,,,,
-2.5828445,2.65E-05,-3614.1372,0,178.50195,178.52344,,,,
-2.5853169,-0.000435829,-3625.4177,0,179.00195,179.02344,,,,
-2.5878191,-0.000876427,-3633.3896,0,179.50195,179.52344,,,,
-2.5905609,-0.001085281,-3648.4246,0,180.00195,180.02344,,,,
-2.5933135,-0.001291513,-3666.0818,0,180.50195,180.52344,,,,
-2.5965858,-0.000986099,-3690.1582,0,181.00195,181.02344,,,,
-2.5997937,-0.000752926,-3712.4756,0,181.50195,181.52344,,,,
-2.6037943,0.000264883,-3738.7131,0,182.00195,182.02344,,,,
-2.6069045,0.000384092,-3753.8743,0,182.50195,182.52344,,,,
-2.6098669,0.000347376,-3765.8423,0,183.00195,183.02344,,,,
