MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A,,,,,,,,,
,,,,,,,,,
Data Acquisition,,,,,,Time:,102.02344,s,12/20/16 13:19
Axial Displacement,Axial Displacement Error,Axial Extensometer,Axial Extensometer Abs. Error,Axial Force,Axial Force Abs. Error,Running Time,Time,,
mm,mm,mm/mm,mm/mm,N,N,s,s,,
2.1421385,0.000183582,0.006940533,0,38598.313,0,74.310547,74.329102,,
2.1451735,0.000468969,0.00698542,0,38633.426,0,74.410156,74.428711,,
2.148993,-3.03E-05,0.006966884,0,38668.398,0,74.509766,74.52832,,
2.1527457,-0.00046277,0.007096334,0,38697.895,0,74.609375,74.62793,,
2.1553445,0.000258923,0.006867444,0,38720.344,0,74.708984,74.727539,,
2.1590018,-7.82E-05,0.007005821,0,38743.109,0,74.808594,74.827148,,
2.1622896,-4.55E-05,0.007031542,0,38764.184,0,74.908203,74.926758,,
2.1650195,0.000544786,0.006903957,0,38788.344,0,75.007813,75.026367,,
2.1687722,0.000112295,0.006934481,0,38808.656,0,75.107422,75.125977,,
2.1720552,0.000149727,0.0069091,0,38836.305,0,75.207031,75.225586,,
2.1755719,-4.67E-05,0.006828061,0,38866.379,0,75.306641,75.325195,,
2.1792006,-0.000355005,0.006970746,0,38895.902,0,75.40625,75.424805,,
2.1818757,0.000290155,0.007032409,0,38924.613,0,75.505859,75.524414,,
2.1849179,0.000568151,0.006968003,0,38949.023,0,75.605469,75.624023,,
2.1891785,-0.000371933,0.006928628,0,38972.738,0,75.705078,75.723633,,
2.1915174,0.000609398,0.006951065,0,38996.699,0,75.804688,75.823242,,
2.1948028,0.000644445,0.007090929,0,39019,0,75.904297,75.922852,,
2.1973825,0.001384974,0.007066298,0,39043.789,0,76.003906,76.022461,,
2.2013736,0.000714064,0.0070357,0,39071.418,0,76.103516,76.12207,,
2.2052598,0.000148296,0.007148983,0,39099.152,0,76.203125,76.22168,,
2.2082114,0.000516891,0.007071364,0,39126.383,0,76.302734,76.321289,,
2.2117329,0.000315905,0.006987251,0,39153.809,0,76.402344,76.420898,,
2.2156644,-0.000295401,0.007066248,0,39182.344,0,76.501953,76.520508,,
2.2182918,0.000397444,0.007057149,0,39208.801,0,76.601563,76.620117,,
2.2216702,0.000339508,0.007239146,0,39235.414,0,76.701172,76.719727,,
2.2250605,0.000269413,0.007144331,0,39262.512,0,76.800781,76.819336,,
2.2279906,0.000659704,0.00699439,0,39285.121,0,76.900391,76.918945,,
2.231009,0.000961542,0.007123327,0,39315.09,0,77,77.018555,,
2.2352362,5.46E-05,0.007072588,0,39343.793,0,77.099609,77.118164,,
2.2388434,-0.00023222,0.007176859,0,39372.926,0,77.199219,77.217773,,
2.2417688,0.000162601,0.007009618,0,39397.066,0,77.298828,77.317383,,
2.2457576,-0.000505686,0.007129968,0,39422.598,0,77.398438,77.416992,,
